x,y
1.857597503662109517e+01,-1.083425292968749964e+01
1.847597503662109375e+01,-1.073425292968750000e+01
1.837597503662109588e+01,-1.063425292968749858e+01
1.827597503662109446e+01,-1.053425292968750071e+01
1.817597503662109659e+01,-1.043425292968749929e+01
1.807597503662109517e+01,-1.033425292968749964e+01
1.797597503662109375e+01,-1.023425292968750000e+01
1.787597503662109588e+01,-1.013425292968749858e+01
1.777597503662109446e+01,-1.003425292968750071e+01
1.767597503662109659e+01,-9.934252929687499289e+00
1.757597503662109517e+01,-9.834252929687499645e+00
1.747597503662109375e+01,-9.734252929687500000e+00
1.737597503662109588e+01,-9.634252929687498579e+00
1.727597503662109446e+01,-9.534252929687500711e+00
1.717597503662109659e+01,-9.434252929687499289e+00
1.707597503662109517e+01,-9.434252929687499289e+00
1.697597503662109375e+01,-9.434252929687499289e+00
1.687597503662109588e+01,-9.434252929687499289e+00
1.677597503662109446e+01,-9.434252929687499289e+00
1.667597503662109659e+01,-9.434252929687499289e+00
1.657597503662109517e+01,-9.434252929687499289e+00
1.647597503662109375e+01,-9.434252929687499289e+00
1.637597503662109588e+01,-9.434252929687499289e+00
1.627597503662109446e+01,-9.434252929687499289e+00
1.617597503662109659e+01,-9.434252929687499289e+00
1.607597503662109517e+01,-9.434252929687499289e+00
1.597597503662109375e+01,-9.434252929687499289e+00
1.587597503662109588e+01,-9.434252929687499289e+00
1.577597503662109446e+01,-9.334252929687499645e+00
1.567597503662109659e+01,-9.234252929687500000e+00
1.557597503662109517e+01,-9.134252929687500355e+00
1.547597503662109375e+01,-9.034252929687498934e+00
1.537597503662109588e+01,-8.934252929687499289e+00
1.527597503662109446e+01,-8.834252929687499645e+00
1.517597503662109304e+01,-8.734252929687500000e+00
1.507597503662109517e+01,-8.634252929687500355e+00
1.497597503662109375e+01,-8.534252929687498934e+00
1.487597503662109588e+01,-8.434252929687499289e+00
1.477597503662109446e+01,-8.334252929687499645e+00
1.467597503662109304e+01,-8.234252929687500000e+00
1.457597503662109517e+01,-8.134252929687500355e+00
1.447597503662109375e+01,-8.034252929687498934e+00
1.437597503662109588e+01,-7.934252929687499289e+00
1.427597503662109446e+01,-7.834252929687499645e+00
1.417597503662109304e+01,-7.734252929687500000e+00
1.407597503662109517e+01,-7.634252929687498579e+00
1.397597503662109375e+01,-7.634252929687498579e+00
1.387597503662109588e+01,-7.534252929687498934e+00
1.377597503662109446e+01,-7.534252929687498934e+00
1.367597503662109304e+01,-7.434252929687499289e+00
1.357597503662109517e+01,-7.434252929687499289e+00
1.347597503662109375e+01,-7.334252929687499645e+00
1.337597503662109588e+01,-7.334252929687499645e+00
1.327597503662109446e+01,-7.334252929687499645e+00
1.317597503662109304e+01,-7.234252929687500000e+00
1.307597503662109517e+01,-7.234252929687500000e+00
1.297597503662109375e+01,-7.134252929687498579e+00
1.287597503662109588e+01,-7.134252929687498579e+00
1.277597503662109446e+01,-7.034252929687498934e+00
1.267597503662109304e+01,-7.034252929687498934e+00
1.257597503662109517e+01,-6.934252929687499289e+00
1.247597503662109375e+01,-6.934252929687499289e+00
1.237597503662109411e+01,-6.934252929687499289e+00
1.227597503662109446e+01,-6.834252929687499645e+00
1.237597503662109411e+01,-6.734252929687500000e+00
1.237597503662109411e+01,-6.634252929687498579e+00
1.247597503662109375e+01,-6.534252929687498934e+00
1.257597503662109517e+01,-6.434252929687499289e+00
1.257597503662109517e+01,-6.334252929687499645e+00
1.257597503662109517e+01,-6.234252929687500000e+00
1.257597503662109517e+01,-6.134252929687498579e+00
1.257597503662109517e+01,-6.034252929687498934e+00
1.257597503662109517e+01,-5.934252929687499289e+00
1.257597503662109517e+01,-5.834252929687499645e+00
1.257597503662109517e+01,-5.734252929687500000e+00
1.257597503662109517e+01,-5.634252929687498579e+00
1.257597503662109517e+01,-5.534252929687498934e+00
1.257597503662109517e+01,-5.434252929687499289e+00
1.257597503662109517e+01,-5.334252929687499645e+00
1.257597503662109517e+01,-5.234252929687500000e+00
1.257597503662109517e+01,-5.134252929687498579e+00
1.257597503662109517e+01,-5.034252929687498934e+00
1.257597503662109517e+01,-4.934252929687499289e+00
1.257597503662109517e+01,-4.834252929687499645e+00
1.257597503662109517e+01,-4.734252929687500000e+00
1.257597503662109517e+01,-4.634252929687498579e+00
1.257597503662109517e+01,-4.534252929687498934e+00
1.257597503662109517e+01,-4.434252929687499289e+00
1.257597503662109517e+01,-4.334252929687499645e+00
1.257597503662109517e+01,-4.234252929687500000e+00
1.257597503662109517e+01,-4.134252929687498579e+00
1.257597503662109517e+01,-4.034252929687498934e+00
1.257597503662109517e+01,-3.934252929687499289e+00
1.257597503662109517e+01,-3.834252929687499645e+00
